,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
31253,12562946,49074,BANKNIFTY2221035700CE,BANKNIFTY,0.0,2022-02-10,35700.0,0.05,25,CE,NFO-OPT,NFO
31254,12563202,49075,BANKNIFTY2221035700PE,BANKNIFTY,0.0,2022-02-10,35700.0,0.05,25,PE,NFO-OPT,NFO
31255,12564738,49081,BANKNIFTY2221035800CE,BANKNIFTY,0.0,2022-02-10,35800.0,0.05,25,CE,NFO-OPT,NFO
31256,12564994,49082,BANKNIFTY2221035800PE,BANKNIFTY,0.0,2022-02-10,35800.0,0.05,25,PE,NFO-OPT,NFO
31257,12565250,49083,BANKNIFTY2221035900CE,BANKNIFTY,0.0,2022-02-10,35900.0,0.05,25,CE,NFO-OPT,NFO
31258,12565506,49084,BANKNIFTY2221035900PE,BANKNIFTY,0.0,2022-02-10,35900.0,0.05,25,PE,NFO-OPT,NFO
31259,12565762,49085,BANKNIFTY2221036000CE,BANKNIFTY,0.0,2022-02-10,36000.0,0.05,25,CE,NFO-OPT,NFO
31260,12566018,49086,BANKNIFTY2221036000PE,BANKNIFTY,0.0,2022-02-10,36000.0,0.05,25,PE,NFO-OPT,NFO
31261,12567298,49091,BANKNIFTY2221036100CE,BANKNIFTY,0.0,2022-02-10,36100.0,0.05,25,CE,NFO-OPT,NFO
31262,12567554,49092,BANKNIFTY2221036100PE,BANKNIFTY,0.0,2022-02-10,36100.0,0.05,25,PE,NFO-OPT,NFO
31263,12570114,49102,BANKNIFTY2221036200CE,BANKNIFTY,0.0,2022-02-10,36200.0,0.05,25,CE,NFO-OPT,NFO
31264,12570370,49103,BANKNIFTY2221036200PE,BANKNIFTY,0.0,2022-02-10,36200.0,0.05,25,PE,NFO-OPT,NFO
31265,12571650,49108,BANKNIFTY2221036300CE,BANKNIFTY,0.0,2022-02-10,36300.0,0.05,25,CE,NFO-OPT,NFO
31266,12571906,49109,BANKNIFTY2221036300PE,BANKNIFTY,0.0,2022-02-10,36300.0,0.05,25,PE,NFO-OPT,NFO
31267,12572162,49110,BANKNIFTY2221036400CE,BANKNIFTY,0.0,2022-02-10,36400.0,0.05,25,CE,NFO-OPT,NFO
31268,12573442,49115,BANKNIFTY2221036400PE,BANKNIFTY,0.0,2022-02-10,36400.0,0.05,25,PE,NFO-OPT,NFO
31269,12573698,49116,BANKNIFTY2221036500CE,BANKNIFTY,0.0,2022-02-10,36500.0,0.05,25,CE,NFO-OPT,NFO
31270,12573954,49117,BANKNIFTY2221036500PE,BANKNIFTY,0.0,2022-02-10,36500.0,0.05,25,PE,NFO-OPT,NFO
31271,12574210,49118,BANKNIFTY2221036600CE,BANKNIFTY,0.0,2022-02-10,36600.0,0.05,25,CE,NFO-OPT,NFO
31272,12574466,49119,BANKNIFTY2221036600PE,BANKNIFTY,0.0,2022-02-10,36600.0,0.05,25,PE,NFO-OPT,NFO
31273,12576258,49126,BANKNIFTY2221036700CE,BANKNIFTY,0.0,2022-02-10,36700.0,0.05,25,CE,NFO-OPT,NFO
31274,12576514,49127,BANKNIFTY2221036700PE,BANKNIFTY,0.0,2022-02-10,36700.0,0.05,25,PE,NFO-OPT,NFO
31275,12576770,49128,BANKNIFTY2221036800CE,BANKNIFTY,0.0,2022-02-10,36800.0,0.05,25,CE,NFO-OPT,NFO
31276,12577026,49129,BANKNIFTY2221036800PE,BANKNIFTY,0.0,2022-02-10,36800.0,0.05,25,PE,NFO-OPT,NFO
31277,12579330,49138,BANKNIFTY2221036900CE,BANKNIFTY,0.0,2022-02-10,36900.0,0.05,25,CE,NFO-OPT,NFO
31278,12579586,49139,BANKNIFTY2221036900PE,BANKNIFTY,0.0,2022-02-10,36900.0,0.05,25,PE,NFO-OPT,NFO
31279,12580866,49144,BANKNIFTY2221037000CE,BANKNIFTY,0.0,2022-02-10,37000.0,0.05,25,CE,NFO-OPT,NFO
31280,12581122,49145,BANKNIFTY2221037000PE,BANKNIFTY,0.0,2022-02-10,37000.0,0.05,25,PE,NFO-OPT,NFO
31281,12585730,49163,BANKNIFTY2221037100CE,BANKNIFTY,0.0,2022-02-10,37100.0,0.05,25,CE,NFO-OPT,NFO
31282,12592130,49188,BANKNIFTY2221037100PE,BANKNIFTY,0.0,2022-02-10,37100.0,0.05,25,PE,NFO-OPT,NFO
31283,12592386,49189,BANKNIFTY2221037200CE,BANKNIFTY,0.0,2022-02-10,37200.0,0.05,25,CE,NFO-OPT,NFO
31284,12592642,49190,BANKNIFTY2221037200PE,BANKNIFTY,0.0,2022-02-10,37200.0,0.05,25,PE,NFO-OPT,NFO
31285,12592898,49191,BANKNIFTY2221037300CE,BANKNIFTY,0.0,2022-02-10,37300.0,0.05,25,CE,NFO-OPT,NFO
31286,12593666,49194,BANKNIFTY2221037300PE,BANKNIFTY,0.0,2022-02-10,37300.0,0.05,25,PE,NFO-OPT,NFO
31287,12593922,49195,BANKNIFTY2221037400CE,BANKNIFTY,0.0,2022-02-10,37400.0,0.05,25,CE,NFO-OPT,NFO
31288,12598274,49212,BANKNIFTY2221037400PE,BANKNIFTY,0.0,2022-02-10,37400.0,0.05,25,PE,NFO-OPT,NFO
31289,12598530,49213,BANKNIFTY2221037500CE,BANKNIFTY,0.0,2022-02-10,37500.0,0.05,25,CE,NFO-OPT,NFO
31290,12599810,49218,BANKNIFTY2221037500PE,BANKNIFTY,0.0,2022-02-10,37500.0,0.05,25,PE,NFO-OPT,NFO
31291,12600066,49219,BANKNIFTY2221037600CE,BANKNIFTY,0.0,2022-02-10,37600.0,0.05,25,CE,NFO-OPT,NFO
31292,12600322,49220,BANKNIFTY2221037600PE,BANKNIFTY,0.0,2022-02-10,37600.0,0.05,25,PE,NFO-OPT,NFO
31293,12600578,49221,BANKNIFTY2221037700CE,BANKNIFTY,0.0,2022-02-10,37700.0,0.05,25,CE,NFO-OPT,NFO
31294,12602114,49227,BANKNIFTY2221037700PE,BANKNIFTY,0.0,2022-02-10,37700.0,0.05,25,PE,NFO-OPT,NFO
31295,12602370,49228,BANKNIFTY2221037800CE,BANKNIFTY,0.0,2022-02-10,37800.0,0.05,25,CE,NFO-OPT,NFO
31296,12602626,49229,BANKNIFTY2221037800PE,BANKNIFTY,0.0,2022-02-10,37800.0,0.05,25,PE,NFO-OPT,NFO
31297,12602882,49230,BANKNIFTY2221037900CE,BANKNIFTY,0.0,2022-02-10,37900.0,0.05,25,CE,NFO-OPT,NFO
31298,12603138,49231,BANKNIFTY2221037900PE,BANKNIFTY,0.0,2022-02-10,37900.0,0.05,25,PE,NFO-OPT,NFO
31299,12603394,49232,BANKNIFTY2221038000CE,BANKNIFTY,0.0,2022-02-10,38000.0,0.05,25,CE,NFO-OPT,NFO
31300,12603650,49233,BANKNIFTY2221038000PE,BANKNIFTY,0.0,2022-02-10,38000.0,0.05,25,PE,NFO-OPT,NFO
31301,12603906,49234,BANKNIFTY2221038100CE,BANKNIFTY,0.0,2022-02-10,38100.0,0.05,25,CE,NFO-OPT,NFO
31302,12604162,49235,BANKNIFTY2221038100PE,BANKNIFTY,0.0,2022-02-10,38100.0,0.05,25,PE,NFO-OPT,NFO
31303,12604418,49236,BANKNIFTY2221038200CE,BANKNIFTY,0.0,2022-02-10,38200.0,0.05,25,CE,NFO-OPT,NFO
31304,12604674,49237,BANKNIFTY2221038200PE,BANKNIFTY,0.0,2022-02-10,38200.0,0.05,25,PE,NFO-OPT,NFO
31305,12606210,49243,BANKNIFTY2221038300CE,BANKNIFTY,0.0,2022-02-10,38300.0,0.05,25,CE,NFO-OPT,NFO
31306,12606466,49244,BANKNIFTY2221038300PE,BANKNIFTY,0.0,2022-02-10,38300.0,0.05,25,PE,NFO-OPT,NFO
31307,12608514,49252,BANKNIFTY2221038400CE,BANKNIFTY,0.0,2022-02-10,38400.0,0.05,25,CE,NFO-OPT,NFO
31308,12608770,49253,BANKNIFTY2221038400PE,BANKNIFTY,0.0,2022-02-10,38400.0,0.05,25,PE,NFO-OPT,NFO
31309,12609026,49254,BANKNIFTY2221038500CE,BANKNIFTY,0.0,2022-02-10,38500.0,0.05,25,CE,NFO-OPT,NFO
31310,12609282,49255,BANKNIFTY2221038500PE,BANKNIFTY,0.0,2022-02-10,38500.0,0.05,25,PE,NFO-OPT,NFO
31311,12609538,49256,BANKNIFTY2221038600CE,BANKNIFTY,0.0,2022-02-10,38600.0,0.05,25,CE,NFO-OPT,NFO
31312,12609794,49257,BANKNIFTY2221038600PE,BANKNIFTY,0.0,2022-02-10,38600.0,0.05,25,PE,NFO-OPT,NFO
31313,12610050,49258,BANKNIFTY2221038700CE,BANKNIFTY,0.0,2022-02-10,38700.0,0.05,25,CE,NFO-OPT,NFO
31314,12610306,49259,BANKNIFTY2221038700PE,BANKNIFTY,0.0,2022-02-10,38700.0,0.05,25,PE,NFO-OPT,NFO
31315,12610562,49260,BANKNIFTY2221038800CE,BANKNIFTY,0.0,2022-02-10,38800.0,0.05,25,CE,NFO-OPT,NFO
31316,12610818,49261,BANKNIFTY2221038800PE,BANKNIFTY,0.0,2022-02-10,38800.0,0.05,25,PE,NFO-OPT,NFO
31317,12611074,49262,BANKNIFTY2221038900CE,BANKNIFTY,0.0,2022-02-10,38900.0,0.05,25,CE,NFO-OPT,NFO
31318,12611330,49263,BANKNIFTY2221038900PE,BANKNIFTY,0.0,2022-02-10,38900.0,0.05,25,PE,NFO-OPT,NFO
31319,12611586,49264,BANKNIFTY2221039000CE,BANKNIFTY,0.0,2022-02-10,39000.0,0.05,25,CE,NFO-OPT,NFO
31320,12611842,49265,BANKNIFTY2221039000PE,BANKNIFTY,0.0,2022-02-10,39000.0,0.05,25,PE,NFO-OPT,NFO
31321,12612098,49266,BANKNIFTY2221039100CE,BANKNIFTY,0.0,2022-02-10,39100.0,0.05,25,CE,NFO-OPT,NFO
31322,12612354,49267,BANKNIFTY2221039100PE,BANKNIFTY,0.0,2022-02-10,39100.0,0.05,25,PE,NFO-OPT,NFO
31323,12612610,49268,BANKNIFTY2221039200CE,BANKNIFTY,0.0,2022-02-10,39200.0,0.05,25,CE,NFO-OPT,NFO
31324,12612866,49269,BANKNIFTY2221039200PE,BANKNIFTY,0.0,2022-02-10,39200.0,0.05,25,PE,NFO-OPT,NFO
31325,12613122,49270,BANKNIFTY2221039300CE,BANKNIFTY,0.0,2022-02-10,39300.0,0.05,25,CE,NFO-OPT,NFO
31326,12613378,49271,BANKNIFTY2221039300PE,BANKNIFTY,0.0,2022-02-10,39300.0,0.05,25,PE,NFO-OPT,NFO
31327,12613890,49273,BANKNIFTY2221039400CE,BANKNIFTY,0.0,2022-02-10,39400.0,0.05,25,CE,NFO-OPT,NFO
31328,12614146,49274,BANKNIFTY2221039400PE,BANKNIFTY,0.0,2022-02-10,39400.0,0.05,25,PE,NFO-OPT,NFO
31329,12614402,49275,BANKNIFTY2221039500CE,BANKNIFTY,0.0,2022-02-10,39500.0,0.05,25,CE,NFO-OPT,NFO
31330,12614658,49276,BANKNIFTY2221039500PE,BANKNIFTY,0.0,2022-02-10,39500.0,0.05,25,PE,NFO-OPT,NFO
31331,12615682,49280,BANKNIFTY2221039600CE,BANKNIFTY,0.0,2022-02-10,39600.0,0.05,25,CE,NFO-OPT,NFO
31332,12615938,49281,BANKNIFTY2221039600PE,BANKNIFTY,0.0,2022-02-10,39600.0,0.05,25,PE,NFO-OPT,NFO
31333,12616194,49282,BANKNIFTY2221039700CE,BANKNIFTY,0.0,2022-02-10,39700.0,0.05,25,CE,NFO-OPT,NFO
31334,12616450,49283,BANKNIFTY2221039700PE,BANKNIFTY,0.0,2022-02-10,39700.0,0.05,25,PE,NFO-OPT,NFO
31335,12616962,49285,BANKNIFTY2221039800CE,BANKNIFTY,0.0,2022-02-10,39800.0,0.05,25,CE,NFO-OPT,NFO
31336,12617218,49286,BANKNIFTY2221039800PE,BANKNIFTY,0.0,2022-02-10,39800.0,0.05,25,PE,NFO-OPT,NFO
31337,12617474,49287,BANKNIFTY2221039900CE,BANKNIFTY,0.0,2022-02-10,39900.0,0.05,25,CE,NFO-OPT,NFO
31338,12617730,49288,BANKNIFTY2221039900PE,BANKNIFTY,0.0,2022-02-10,39900.0,0.05,25,PE,NFO-OPT,NFO
31339,12617986,49289,BANKNIFTY2221040000CE,BANKNIFTY,0.0,2022-02-10,40000.0,0.05,25,CE,NFO-OPT,NFO
31340,12618242,49290,BANKNIFTY2221040000PE,BANKNIFTY,0.0,2022-02-10,40000.0,0.05,25,PE,NFO-OPT,NFO
